country_iso2,sector,pd,net_profit_margin,debt_equity_ratio,volatility
CR,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
CU,Oil&Gas,3.8512e-4,0.1100245,0.162948425,0.28810626500000003
CU,Power,4.9763e-4,0.07665835,0.1483880175,0.275562825
CU,Steel,2.2344e-4,0.0938409,0.06630509,0.34117707
CY,Power,5.16105e-4,0.07390605,0.12028038,0.2725319475
CZ,Automotive,3.3066e-4,0.0574028,0.11446581,0.27290464
CZ,Coal,5.1651125e-4,0.07165070000000001,0.1136253875,0.3115850375
CZ,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
CZ,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
DE,Automotive,3.27135e-4,0.049479075,0.1121473775,0.27290464
DE,Coal,4.91545e-4,0.0715181,0.1174059275,0.27561886
DE,Oil&Gas,5.3307e-4,0.08101354,0.13469286,0.24302715
DE,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
DE,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
DK,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.24302715
DK,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
DO,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
DZ,Automotive,3.27135e-4,0.049479075,0.11009820249999999,0.27290464
DZ,Oil&Gas,3.8466e-4,0.08101354,0.12028038,0.2755908425
DZ,Power,4.40035e-4,0.1045378,0.11441915,0.289695265
DZ,Steel,4.709e-5,0.2635113,0.03978237,0.22829712
EC,Automotive,3.0808e-4,0.0516698,0.10810519,0.27290464
EC,Oil&Gas,5.2456e-4,0.15677835,0.1907284075,0.3368522925
EC,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
EE,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
EG,Automotive,3.2361e-4,0.0491513,0.108934235,0.27285110999999995
EG,Coal,0.00100742,0.29811665,0.25862399,0.251270925
EG,Oil&Gas,3.8466e-4,0.168023025,0.097473535,0.278635405
EG,Power,4.40035e-4,0.1045378,0.11441915,0.289695265
EG,Steel,4.709e-5,0.2635113,0.03978237,0.22829712
ES,Automotive,3.2952000000000003e-4,0.049479075,0.11448914,0.27290464
ES,Coal,4.91545e-4,0.0715181,0.106970395,0.347551215
ES,Oil&Gas,5.2095e-4,0.07635422,0.13918295,0.2621620125
ES,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
ES,Steel,4.403775e-4,0.0741958,0.108934235,0.3377233425
ET,Automotive,4.718725e-4,0.0589701,0.0823463725,0.36149153999999994
ET,Power,4.4686e-4,0.0683728,0.09951557,0.32071617
FI,Automotive,3.69155e-4,0.04879870625,0.14406114875,0.27056528
FI,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
FI,Steel,3.5958750000000003e-4,0.062228775,0.11441915,0.27561886
FR,Automotive,3.2952000000000003e-4,0.0525307875,0.11328326375,0.27290464
FR,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.24302715
FR,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
FR,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
GA,Oil&Gas,5.157149999999999e-4,0.09760655,0.129731665,0.2890672425
GA,Power,4.2234e-4,0.0683728,0.104639425,0.319676155
GB,Automotive,3.4744625e-4,0.04879870625,0.11451722125,0.27290464
GB,Coal,4.91545e-4,0.0715181,0.106970395,0.347551215
GB,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.24302715
GB,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
GB,Steel,4.411375e-4,0.0767007,0.1053942625,0.3371678475
GE,Coal,4.91545e-4,0.0715181,0.106970395,0.347551215
GE,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.24302715
GE,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
GE,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
GH,Oil&Gas,4.76905e-4,0.07635422,0.12093569,0.27429644
GH,Power,4.25355e-4,0.0683728,0.10329921875,0.30944184250000006
GP,Power,3.767975e-4,0.06723435,0.12442511,0.27297402
GQ,Oil&Gas,6.4677e-4,0.141279,0.15243064750000002,0.32678448
GQ,Power,4.4686e-4,0.0683728,0.09951557,0.32071617
GR,Coal,5.123075e-4,0.0716949,0.129731665,0.275562825
GR,Oil&Gas,4.58865e-4,0.17226242,0.097473535,0.278635405
GR,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
GR,Steel,4.91545e-4,0.07419780000000001,0.11451247,0.28724287
GT,Oil&Gas,5.2456e-4,0.1619448,0.20496116,0.34020823
GT,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
GY,Oil&Gas,4.0678999999999997e-4,0.07777591,0.1266613025,0.29427004999999995
HK,Power,3.299e-4,0.059668425,0.114531475,0.27279758
HN,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
HR,Oil&Gas,5.3307e-4,0.07885712,0.12771637,0.27561886
HR,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
HR,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
HU,Automotive,3.2361e-4,0.0546366375,0.1121473775,0.27290464
HU,Coal,5.414775e-4,0.0716065,0.1136253875,0.3115850375
HU,Oil&Gas,5.3307e-4,0.08101354,0.136316305,0.24302715
HU,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
HU,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
ID,Automotive,3.2361e-4,0.0523113,0.1134892625,0.27285110999999995
ID,Coal,3.6483e-4,0.10578785,0.104402455,0.31671155
ID,Oil&Gas,2.4568e-4,0.0581042,0.12093569,0.2360043
ID,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
ID,Steel,2.4227e-4,0.0483934,0.055973145,0.26753675
IE,Oil&Gas,5.3307e-4,0.08101354,0.12856984,0.24302715
IE,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
